problem, nodes, solutions, fails, time, optimum
PSP1.SCH, 1, 0, 1, 0.01s, unsat
PSP2.SCH, 1, 0, 1, 0.01s, unsat
PSP3.SCH, 1, 0, 1, 0.01s, unsat
PSP4.SCH, 750522, 221, 375028, timeout, 109
PSP5.SCH, 1, 0, 1, 0.01s, unsat
PSP6.SCH, 1, 0, 1, 0.01s, unsat
PSP7.SCH, 1, 0, 1, 0.01s, unsat
PSP8.SCH, 1, 0, 1, 0.01s, unsat
PSP9.SCH, 645486, 175, 322558, timeout, 122
PSP10.SCH, 1, 0, 1, 0.01s, unsat
PSP11.SCH, 3535, 206, 1562, 3.71s, 62
PSP12.SCH, 525136, 273, 262285, timeout, 46
PSP13.SCH, 660460, 176, 330044, timeout, 71
PSP14.SCH, 2079, 163, 877, 2.10s, 69
PSP15.SCH, 1054897, 189, 527246, timeout, 71
PSP16.SCH, 969062, 161, 484357, timeout, 54
PSP17.SCH, 400940, 134, 200328, timeout, 58
PSP18.SCH, 1, 0, 1, 0.01s, unsat
PSP19.SCH, 1, 0, 1, 0.01s, unsat
PSP20.SCH, 374698, 202, 187136, timeout, 32
PSP21.SCH, 964881, 231, 482198, timeout, 61
PSP22.SCH, 939, 187, 283, 0.73s, 78
PSP23.SCH, 559569, 220, 279554, timeout, 49
PSP24.SCH, 540211, 148, 269948, timeout, 40
PSP25.SCH, 7399, 213, 3487, 6.79s, 78
PSP26.SCH, 225787, 196, 112698, 174.67s, 51
PSP27.SCH, 875, 169, 269, 0.73s, 60
PSP28.SCH, 909, 159, 296, 0.81s, 87
PSP29.SCH, 1061, 180, 351, 0.96s, 62
PSP30.SCH, 961, 205, 276, 0.79s, 66
PSP31.SCH, 1, 0, 1, 0.01s, unsat
PSP32.SCH, 383959, 127, 191842, timeout, 126
PSP33.SCH, 340379, 156, 170022, timeout, 117
PSP34.SCH, 1, 0, 1, 0.01s, unsat
PSP35.SCH, 244942, 106, 122357, timeout, 148
PSP36.SCH, 1, 0, 1, 0.01s, unsat
PSP37.SCH, 311175, 84, 155493, timeout, 133
PSP38.SCH, 308162, 92, 153976, timeout, 110
PSP39.SCH, 1, 0, 1, 0.01s, unsat
PSP40.SCH, 484076, 127, 241897, timeout, 134
PSP41.SCH, 353840, 164, 176746, timeout, 47
PSP42.SCH, 906377, 193, 452982, timeout, 67
PSP43.SCH, 2243, 184, 938, 2.29s, 66
PSP44.SCH, 407968, 132, 203843, timeout, 119
PSP45.SCH, 512870, 217, 256208, timeout, 56
PSP46.SCH, 592383, 193, 295990, timeout, 51
PSP47.SCH, 507756, 163, 253705, timeout, 49
PSP48.SCH, 3407, 231, 1473, 3.35s, 54
PSP49.SCH, 1, 0, 1, 0.01s, unsat
PSP50.SCH, 1, 0, 1, 0.01s, unsat
PSP51.SCH, 3011, 230, 1276, 2.61s, 71
PSP52.SCH, 861, 175, 256, 0.71s, 80
PSP53.SCH, 3315, 178, 1480, 2.89s, 46
PSP54.SCH, 28367, 240, 13944, 43.99s, 35
PSP55.SCH, 209024, 186, 104321, timeout, 57
PSP56.SCH, 951, 197, 279, 0.80s, 61
PSP57.SCH, 540960, 195, 270274, timeout, 76
PSP58.SCH, 533744, 244, 266617, timeout, 41
PSP59.SCH, 727666, 273, 363550, timeout, 59
PSP60.SCH, 697303, 317, 348322, timeout, 49
PSP61.SCH, 1, 0, 1, 0.01s, unsat
PSP62.SCH, 1, 0, 1, 0.01s, unsat
PSP63.SCH, 1, 0, 1, 0.01s, unsat
PSP64.SCH, 369534, 104, 184650, timeout, 170
PSP65.SCH, 196336, 108, 98051, timeout, 167
PSP66.SCH, 1, 0, 1, 0.01s, unsat
PSP67.SCH, 531458, 33, 265683, timeout, 139
PSP68.SCH, 233367, 110, 116561, timeout, 174
PSP69.SCH, 1, 0, 1, 0.01s, unsat
PSP70.SCH, 1, 0, 1, 0.01s, unsat
PSP71.SCH, 293683, 184, 146651, timeout, 55
PSP72.SCH, 1, 0, 1, 0.01s, unsat
PSP73.SCH, 582787, 202, 291178, timeout, 62
PSP74.SCH, 4729, 221, 2144, 5.76s, 68
PSP75.SCH, 293596, 231, 146560, timeout, 65
PSP76.SCH, 461899, 240, 230700, timeout, 71
PSP77.SCH, 496816, 217, 248181, timeout, 49
PSP78.SCH, 386523, 196, 193055, timeout, 67
PSP79.SCH, 364170, 187, 181887, timeout, 84
PSP80.SCH, 339158, 206, 169369, timeout, 69
PSP81.SCH, 1039, 218, 302, 0.87s, 36
PSP82.SCH, 2163, 213, 869, 2.36s, 48
PSP83.SCH, 1381, 271, 420, 1.14s, 56
PSP84.SCH, 771, 173, 213, 0.70s, 51
PSP85.SCH, 1177, 208, 381, 1.13s, 54
PSP86.SCH, 113617, 208, 56601, 195.20s, 42
PSP87.SCH, 1173, 246, 341, 1.04s, 66
PSP88.SCH, 1043, 147, 375, 1.10s, 68
PSP89.SCH, 373342, 154, 186512, timeout, 94
PSP90.SCH, 1817, 227, 682, 1.85s, 87
PSP91.SCH, 195962, 178, 97794, timeout, 105
PSP92.SCH, 1, 0, 1, 0.01s, unsat
PSP93.SCH, 897554, 0, 448769, timeout, none
PSP94.SCH, 1, 0, 1, 0.01s, unsat
PSP95.SCH, 671862, 101, 335818, timeout, 118
PSP96.SCH, 1, 0, 1, 0.01s, unsat
PSP97.SCH, 816046, 139, 407873, timeout, 147
PSP98.SCH, 1, 0, 1, 0.01s, unsat
PSP99.SCH, 440231, 193, 219912, timeout, 107
PSP100.SCH, 608774, 243, 304132, timeout, 109
PSP101.SCH, 1, 0, 1, 0.01s, unsat
PSP102.SCH, 462650, 225, 231094, timeout, 61
PSP103.SCH, 536223, 265, 267835, timeout, 59
PSP104.SCH, 1, 0, 1, 0.01s, unsat
PSP105.SCH, 2515, 278, 980, 1.99s, 60
PSP106.SCH, 63931, 127, 31839, 49.18s, 107
PSP107.SCH, 827295, 205, 413428, timeout, 68
PSP108.SCH, 157937, 187, 78782, 178.22s, 113
PSP109.SCH, 523, 111, 151, 0.44s, 105
PSP110.SCH, 1139, 165, 405, 0.85s, 145
PSP111.SCH, 1, 0, 1, 0.01s, unsat
PSP112.SCH, 760895, 209, 380231, timeout, 57
PSP113.SCH, 1499, 283, 467, 1.16s, 47
PSP114.SCH, 686917, 234, 343211, timeout, 42
PSP115.SCH, 516737, 223, 258142, timeout, 80
PSP116.SCH, 1681, 273, 568, 1.45s, 39
PSP117.SCH, 33463, 157, 16575, 45.64s, 142
PSP118.SCH, 1279, 258, 382, 0.98s, 47
PSP119.SCH, 447765, 243, 223636, timeout, 80
