problem, nodes, solutions, fails, time, optimum
PSP1.SCH, 103, 2, 50, 0.16s, 26
PSP2.SCH, 1, 0, 1, 0.01s, unsat
PSP3.SCH, 103, 1, 51, 0.20s, 36
PSP4.SCH, 497, 3, 246, 0.85s, 39
PSP5.SCH, 505, 1, 252, 0.65s, 32
PSP6.SCH, 1, 0, 1, 0.01s, unsat
PSP7.SCH, 135, 1, 67, 0.16s, 43
PSP8.SCH, 5241, 1, 2620, 5.32s, 40
PSP9.SCH, 8271, 5, 4131, 13.97s, 45
PSP10.SCH, 60567, 1, 30283, 117.95s, 36
PSP11.SCH, 85521, 1, 42760, 110.14s, 31
PSP12.SCH, 1, 0, 1, 0.01s, unsat
PSP13.SCH, 16889, 3, 8442, 30.49s, 40
PSP14.SCH, 1, 0, 1, 0.01s, unsat
PSP15.SCH, 355815, 3, 177892, timeout, 42
PSP16.SCH, 419407, 2, 209702, 423.32s, 30
PSP17.SCH, 1, 0, 1, 0.00s, unsat
PSP18.SCH, 639, 4, 316, 0.77s, 27
PSP19.SCH, 177, 3, 86, 0.27s, 29
PSP20.SCH, 384520, 1, 192248, timeout, 40
PSP21.SCH, 3567, 3, 1781, 4.65s, 37
PSP22.SCH, 129, 1, 64, 0.23s, 38
PSP23.SCH, 97, 1, 48, 0.15s, 34
PSP24.SCH, 77, 1, 38, 0.11s, 33
PSP25.SCH, 2841, 2, 1419, 3.58s, 40
PSP26.SCH, 1, 0, 1, 0.00s, unsat
PSP27.SCH, 1, 0, 1, 0.00s, unsat
PSP28.SCH, 121, 2, 59, 0.17s, 34
PSP29.SCH, 71, 1, 35, 0.13s, 32
PSP30.SCH, 5821, 4, 2907, 8.25s, 32
PSP31.SCH, 1, 0, 1, 0.01s, unsat
PSP32.SCH, 1, 0, 1, 0.01s, unsat
PSP33.SCH, 497611, 2, 248789, timeout, 78
PSP34.SCH, 57709, 4, 28851, 85.69s, 58
PSP35.SCH, 210521, 3, 105258, 371.63s, 45
PSP36.SCH, 177, 4, 85, 0.30s, 55
PSP37.SCH, 787, 2, 392, 1.67s, 32
PSP38.SCH, 9265, 2, 4631, 15.75s, 45
PSP39.SCH, 107, 2, 52, 0.19s, 49
PSP40.SCH, 1, 0, 1, 0.01s, unsat
PSP41.SCH, 1, 0, 1, 0.01s, unsat
PSP42.SCH, 1, 0, 1, 0.01s, unsat
PSP43.SCH, 75147, 3, 37571, 116.38s, 29
PSP44.SCH, 439072, 5, 219524, timeout, 37
PSP45.SCH, 513, 3, 254, 0.78s, 36
PSP46.SCH, 695, 2, 346, 1.25s, 31
PSP47.SCH, 293, 3, 144, 0.48s, 35
PSP48.SCH, 1, 0, 1, 0.01s, unsat
PSP49.SCH, 217, 3, 106, 0.36s, 27
PSP50.SCH, 330651, 3, 165323, 512.76s, 68
PSP51.SCH, 1, 0, 1, 0.00s, unsat
PSP52.SCH, 420025, 1, 210005, timeout, 34
PSP53.SCH, 287, 1, 143, 0.53s, 36
PSP54.SCH, 95, 1, 47, 0.17s, 32
PSP55.SCH, 1, 0, 1, 0.01s, unsat
PSP56.SCH, 131, 2, 64, 0.19s, 34
PSP57.SCH, 85, 1, 42, 0.14s, 40
PSP58.SCH, 1021, 3, 508, 1.36s, 19
PSP59.SCH, 92317, 4, 46155, 179.39s, 37
PSP60.SCH, 305, 4, 149, 0.42s, 37
PSP61.SCH, 1, 0, 1, 0.01s, unsat
PSP62.SCH, 7213, 3, 3604, 13.22s, 54
PSP63.SCH, 80071, 1, 40035, 165.56s, 67
PSP64.SCH, 39821, 3, 19908, 74.93s, 47
PSP65.SCH, 382545, 1, 191264, timeout, 52
PSP66.SCH, 1, 0, 1, 0.01s, unsat
PSP67.SCH, 1, 0, 1, 0.01s, unsat
PSP68.SCH, 1, 0, 1, 0.01s, unsat
PSP69.SCH, 45, 1, 22, 0.08s, 46
PSP70.SCH, 8011, 2, 4004, 17.94s, 54
PSP71.SCH, 1, 0, 1, 0.01s, unsat
PSP72.SCH, 1, 0, 1, 0.01s, unsat
PSP73.SCH, 15589, 2, 7793, 18.34s, 31
PSP74.SCH, 1, 0, 1, 0.01s, unsat
PSP75.SCH, 319, 2, 158, 0.63s, 28
PSP76.SCH, 1, 0, 1, 0.01s, unsat
PSP77.SCH, 414934, 1, 207451, timeout, 59
PSP78.SCH, 115, 1, 57, 0.19s, 26
PSP79.SCH, 221, 2, 109, 0.36s, 30
PSP80.SCH, 23203, 2, 11600, 49.06s, 40
PSP81.SCH, 16721, 3, 8358, 31.53s, 21
PSP82.SCH, 135, 3, 65, 0.22s, 16
PSP83.SCH, 467, 3, 231, 0.77s, 25
PSP84.SCH, 93, 1, 46, 0.15s, 47
PSP85.SCH, 199, 2, 98, 0.38s, 23
PSP86.SCH, 649, 2, 323, 1.29s, 43
PSP87.SCH, 575, 2, 286, 0.98s, 35
PSP88.SCH, 4065, 2, 2031, 8.47s, 42
PSP89.SCH, 471, 1, 235, 0.67s, 53
PSP90.SCH, 81, 1, 40, 0.14s, 49
PSP91.SCH, 71, 1, 35, 0.12s, 47
PSP92.SCH, 1, 0, 1, 0.01s, unsat
PSP93.SCH, 1, 0, 1, 0.01s, unsat
PSP94.SCH, 143, 3, 69, 0.22s, 33
PSP95.SCH, 105, 1, 52, 0.17s, 47
PSP96.SCH, 123979, 3, 61987, 206.49s, 52
PSP97.SCH, 77, 1, 38, 0.11s, 61
PSP98.SCH, 1, 0, 1, 0.01s, unsat
PSP99.SCH, 40491, 2, 20244, 45.21s, 42
PSP100.SCH, 1139, 5, 565, 1.56s, 44
PSP101.SCH, 68529, 1, 34264, 88.95s, 62
PSP102.SCH, 380977, 1, 190480, timeout, 62
PSP103.SCH, 137, 3, 66, 0.23s, 18
PSP104.SCH, 79, 2, 38, 0.13s, 32
