problem, nodes, solutions, fails, time, optimum
psp1.sch, 1, 0, 1, 0.62s, unsat
psp2.sch, 6708, 0, 3349, timeout, none
psp3.sch, 1, 0, 1, 1.28s, unsat
psp4.sch, 9692, 23, 4787, timeout, 472
psp5.sch, 3, 0, 2, 1.22s, unsat
psp6.sch, 18630, 0, 9311, timeout, none
psp7.sch, 23209, 0, 11577, timeout, none
psp8.sch, 19137, 0, 9544, timeout, none
psp9.sch, 7, 0, 4, 2.55s, unsat
psp10.sch, 12923, 0, 6453, timeout, none
psp11.sch, 8916, 2, 4439, timeout, 290
psp12.sch, 16329, 4, 8123, timeout, 238
psp13.sch, 46608, 0, 23289, timeout, none
psp14.sch, 8356, 18, 4135, timeout, 208
psp15.sch, 4769, 9, 2376, 486.75s, 275
psp16.sch, 16404, 7, 8174, timeout, 147
psp17.sch, 5494, 13, 2718, timeout, 288
psp18.sch, 16007, 1, 7973, timeout, 322
psp19.sch, 48265, 0, 24105, timeout, none
psp20.sch, 10288, 2, 5112, timeout, 238
psp21.sch, 1711, 8, 848, 80.34s, 262
psp22.sch, 12540, 2, 6241, timeout, 496
psp23.sch, 5619, 16, 2794, 283.36s, 269
psp24.sch, 7475, 7, 3724, timeout, 201
psp25.sch, 1773, 11, 876, 83.88s, 194
psp26.sch, 2013, 11, 996, 113.12s, 178
psp27.sch, 21526, 5, 10722, timeout, 231
psp28.sch, 6529, 16, 3249, 346.13s, 240
psp29.sch, 18941, 4, 9439, timeout, 298
psp30.sch, 10447, 9, 5215, 365.66s, 196
psp31.sch, 1, 0, 1, 0.64s, unsat
psp32.sch, 5551, 0, 2761, timeout, none
psp33.sch, 13741, 9, 6820, timeout, 480
psp34.sch, 12905, 0, 6442, timeout, none
psp35.sch, 7, 0, 4, 2.15s, unsat
psp36.sch, 46102, 0, 23029, timeout, none
psp37.sch, 8844, 16, 4364, timeout, 501
psp38.sch, 43982, 0, 21973, timeout, none
psp39.sch, 17162, 2, 8538, timeout, 579
psp40.sch, 13116, 0, 6552, timeout, none
psp41.sch, 8530, 5, 4243, timeout, 386
psp42.sch, 62617, 0, 31284, timeout, none
psp43.sch, 8134, 11, 4036, timeout, 382
psp44.sch, 29426, 0, 14693, timeout, none
psp45.sch, 9618, 4, 4775, timeout, 423
psp46.sch, 41407, 4, 20670, timeout, 334
psp47.sch, 9319, 21, 4617, timeout, 316
psp48.sch, 52022, 0, 25999, timeout, none
psp49.sch, 8126, 4, 4047, timeout, 223
psp50.sch, 56304, 0, 28126, timeout, none
psp51.sch, 62090, 0, 31033, timeout, none
psp52.sch, 1259, 6, 624, 53.17s, 304
psp53.sch, 2357, 7, 1172, 93.09s, 177
psp54.sch, 2259, 6, 1124, 80.42s, 352
psp55.sch, 795, 4, 394, 27.19s, 247
psp56.sch, 57682, 0, 28813, timeout, none
psp57.sch, 7000, 4, 3486, timeout, 361
psp58.sch, 325, 1, 162, 4.32s, 317
psp59.sch, 17376, 6, 8660, timeout, 259
psp60.sch, 8920, 6, 4434, timeout, 196
psp61.sch, 29625, 0, 14788, timeout, none
psp62.sch, 34106, 0, 17033, timeout, none
psp63.sch, 1, 0, 1, 0.67s, unsat
psp64.sch, 27947, 1, 13930, timeout, 595
psp65.sch, 16036, 12, 7967, timeout, 516
psp66.sch, 1, 0, 1, 0.66s, unsat
psp67.sch, 20111, 0, 10048, timeout, none
psp68.sch, 11987, 5, 5952, timeout, 578
psp69.sch, 3, 0, 2, 1.35s, unsat
psp70.sch, 12021, 12, 5964, timeout, 459
psp71.sch, 45615, 0, 22790, timeout, none
psp72.sch, 1, 0, 1, 0.67s, unsat
psp73.sch, 55366, 0, 27657, timeout, none
psp74.sch, 13281, 8, 6612, timeout, 265
psp75.sch, 66280, 0, 33097, timeout, none
psp76.sch, 20469, 3, 10194, timeout, 456
psp77.sch, 10864, 6, 5410, timeout, 369
psp78.sch, 53926, 0, 26945, timeout, none
psp79.sch, 13741, 1, 6843, timeout, 510
psp80.sch, 16573, 2, 8248, timeout, 535
psp81.sch, 7410, 7, 3682, timeout, 468
psp82.sch, 12004, 1, 5981, timeout, 572
psp83.sch, 8705, 22, 4331, 413.15s, 243
psp84.sch, 15322, 5, 7647, timeout, 242
psp85.sch, 12947, 7, 6446, timeout, 501
psp86.sch, 49290, 0, 24631, timeout, none
psp87.sch, 47443, 0, 23716, timeout, none
psp88.sch, 16416, 6, 8186, timeout, 405
psp89.sch, 10613, 8, 5294, timeout, 374
psp90.sch, 1247, 6, 618, 57.59s, 476
