problem, nodes, solutions, fails, time, optimum
PSP1.SCH, 1, 0, 1, 0.01s, unsat
PSP2.SCH, 1, 0, 1, 0.01s, unsat
PSP3.SCH, 1, 0, 1, 0.01s, unsat
PSP4.SCH, 1, 0, 1, 0.01s, unsat
PSP5.SCH, 1, 0, 1, 0.01s, unsat
PSP6.SCH, 1, 0, 1, 0.01s, unsat
PSP7.SCH, 73, 1, 36, 0.44s, 65
PSP8.SCH, 139334, 0, 69662, timeout, none
PSP9.SCH, 1, 0, 1, 0.01s, unsat
PSP10.SCH, 1, 0, 1, 0.01s, unsat
PSP11.SCH, 303581, 0, 151783, timeout, none
PSP12.SCH, 1, 0, 1, 0.01s, unsat
PSP13.SCH, 92895, 2, 46446, 436.82s, 53
PSP14.SCH, 219343, 0, 109663, timeout, none
PSP15.SCH, 122850, 0, 61419, timeout, none
PSP16.SCH, 107159, 2, 53573, timeout, 51
PSP17.SCH, 210556, 13, 105258, timeout, 119
PSP18.SCH, 174853, 2, 87418, timeout, 48
PSP19.SCH, 110857, 45, 55379, timeout, 40
PSP20.SCH, 1, 0, 1, 0.01s, unsat
PSP21.SCH, 178937, 64, 89396, timeout, 35
PSP22.SCH, 252648, 1, 126314, timeout, 39
PSP23.SCH, 1, 0, 1, 0.01s, unsat
PSP24.SCH, 569, 5, 280, 2.37s, 47
PSP25.SCH, 230163, 1, 115071, timeout, 34
PSP26.SCH, 319, 14, 146, 1.14s, 41
PSP27.SCH, 53, 1, 26, 0.27s, 60
PSP28.SCH, 101163, 3, 50573, timeout, 39
PSP29.SCH, 2185, 36, 1057, 8.74s, 49
PSP30.SCH, 42171, 2, 21084, 247.13s, 52
PSP31.SCH, 1, 0, 1, 0.01s, unsat
PSP32.SCH, 212177, 0, 106081, timeout, none
PSP33.SCH, 1, 0, 1, 0.01s, unsat
PSP34.SCH, 225128, 1, 112558, timeout, 95
PSP35.SCH, 239792, 41, 119846, timeout, 119
PSP36.SCH, 98261, 29, 49095, timeout, 125
PSP37.SCH, 62758, 0, 31377, timeout, none
PSP38.SCH, 73591, 0, 36792, timeout, none
PSP39.SCH, 71474, 0, 35733, timeout, none
PSP40.SCH, 122279, 8, 61127, timeout, 94
PSP41.SCH, 1, 0, 1, 0.01s, unsat
PSP42.SCH, 226155, 0, 113069, timeout, none
PSP43.SCH, 1, 0, 1, 0.01s, unsat
PSP44.SCH, 1, 0, 1, 0.01s, unsat
PSP45.SCH, 144169, 0, 72074, timeout, none
PSP46.SCH, 150878, 1, 75430, timeout, 64
PSP47.SCH, 129094, 0, 64542, timeout, none
PSP48.SCH, 127588, 0, 63786, timeout, none
PSP49.SCH, 1, 0, 1, 0.01s, unsat
PSP50.SCH, 176696, 1, 88339, timeout, 66
PSP51.SCH, 341, 29, 142, 1.57s, 41
PSP52.SCH, 3463, 111, 1621, 11.79s, 32
PSP53.SCH, 75, 1, 37, 0.32s, 72
PSP54.SCH, 71, 1, 35, 0.34s, 47
PSP55.SCH, 142052, 3, 71017, timeout, 50
PSP56.SCH, 4487, 41, 2203, 14.08s, 48
PSP57.SCH, 3013, 49, 1458, 12.88s, 48
PSP58.SCH, 184726, 47, 92310, timeout, 67
PSP59.SCH, 543, 4, 268, 2.37s, 42
PSP60.SCH, 91, 2, 44, 0.56s, 40
PSP61.SCH, 1, 0, 1, 0.01s, unsat
PSP62.SCH, 1, 0, 1, 0.01s, unsat
PSP63.SCH, 1, 0, 1, 0.01s, unsat
PSP64.SCH, 1, 0, 1, 0.01s, unsat
PSP65.SCH, 186758, 7, 93365, timeout, 98
PSP66.SCH, 1, 0, 1, 0.01s, unsat
PSP67.SCH, 1, 0, 1, 0.01s, unsat
PSP68.SCH, 179890, 1, 89938, timeout, 99
PSP69.SCH, 1, 0, 1, 0.01s, unsat
PSP70.SCH, 259227, 0, 129607, timeout, none
PSP71.SCH, 74445, 0, 37218, timeout, none
PSP72.SCH, 128916, 6, 64446, timeout, 145
PSP73.SCH, 100761, 0, 50374, timeout, none
PSP74.SCH, 120189, 0, 60087, timeout, none
PSP75.SCH, 81340, 40, 40625, timeout, 66
PSP76.SCH, 192063, 1, 96024, timeout, 72
PSP77.SCH, 90437, 37, 45176, timeout, 121
PSP78.SCH, 126711, 3, 63346, timeout, 42
PSP79.SCH, 141864, 1, 70925, timeout, 92
PSP80.SCH, 114418, 0, 57203, timeout, none
PSP81.SCH, 172263, 1, 86126, timeout, 45
PSP82.SCH, 133041, 4, 66509, timeout, 38
PSP83.SCH, 168621, 3, 84299, timeout, 48
PSP84.SCH, 579, 4, 286, 3.24s, 29
PSP85.SCH, 6365, 41, 3142, 32.36s, 36
PSP86.SCH, 159726, 6, 79851, timeout, 165
PSP87.SCH, 775, 3, 385, 2.51s, 31
PSP88.SCH, 116287, 5, 58134, timeout, 36
PSP89.SCH, 39, 1, 19, 0.27s, 48
PSP90.SCH, 2191, 45, 1051, 13.71s, 40
PSP91.SCH, 228691, 0, 114337, timeout, none
PSP92.SCH, 1, 0, 1, 0.01s, unsat
PSP93.SCH, 147882, 1, 73934, timeout, 61
PSP94.SCH, 1, 0, 1, 0.01s, unsat
PSP95.SCH, 195994, 4, 97985, timeout, 57
PSP96.SCH, 36747, 2, 18372, 240.27s, 61
PSP97.SCH, 142645, 6, 71310, timeout, 60
PSP98.SCH, 164479, 0, 82234, timeout, none
PSP99.SCH, 1, 0, 1, 0.01s, unsat
PSP100.SCH, 106116, 0, 53053, timeout, none
PSP101.SCH, 274840, 1, 137411, timeout, 73
PSP102.SCH, 111489, 0, 55738, timeout, none
PSP103.SCH, 276250, 89, 138030, timeout, 128
PSP104.SCH, 249243, 1, 124614, timeout, 59
PSP105.SCH, 250882, 22, 125411, timeout, 48
PSP106.SCH, 1, 0, 1, 0.00s, unsat
PSP107.SCH, 1, 0, 1, 0.01s, unsat
PSP108.SCH, 1, 0, 1, 0.01s, unsat
PSP109.SCH, 253943, 3, 126959, timeout, 50
PSP110.SCH, 162386, 89, 81097, timeout, 68
PSP111.SCH, 78161, 21, 39060, 203.00s, 54
PSP112.SCH, 27, 1, 13, 0.16s, 90
PSP113.SCH, 21211, 1, 10605, 142.10s, 60
PSP114.SCH, 56035, 142, 27876, 165.51s, 54
PSP115.SCH, 163, 1, 81, 0.79s, 58
PSP116.SCH, 242692, 2, 121336, timeout, 70
PSP117.SCH, 120309, 0, 60149, timeout, none
PSP118.SCH, 1, 0, 1, 0.00s, unsat
PSP119.SCH, 73, 1, 36, 0.39s, 102
PSP120.SCH, 243999, 1, 121991, timeout, 33
